dataset,file,language,n_gold,spacy_precision,spacy_recall,spacy_f1,nltk_precision,nltk_recall,nltk_f1
UD_English-EWT,en_ewt-ud-dev.sent_split,english,2001,0.620261031696706,0.4987506246876562,0.5529085872576177,0.9713333333333334,0.728135932033983,0.8323336189660098
UD_English-EWT,en_ewt-ud-test.sent_split,english,2077,0.6113592852584556,0.4612421762156957,0.5257958287596048,0.9832519190509421,0.6783822821376986,0.8028490028490028
UD_English-EWT,en_ewt-ud-train.sent_split,english,12544,0.7623138079137348,0.6650191326530612,0.7103504066079108,0.9716540035067213,0.7952008928571429,0.8746163963174047
UD_English-GUM,en_gum-ud-dev.sent_split,english,1575,0.5924202127659575,0.5657142857142857,0.5787593374472231,0.9709342560553633,0.8907936507936508,0.9291390728476822
UD_English-GUM,en_gum-ud-test.sent_split,english,1464,0.5939794419970631,0.5525956284153005,0.5725406935598019,0.9710806697108066,0.8715846994535519,0.9186465082793377
UD_English-GUM,en_gum-ud-train.sent_split,english,10224,0.5691384838142517,0.5382433489827856,0.5532599406826522,0.970451347548436,0.8769561815336463,0.9213379232389662
UD_English-PUD,en_pud-ud-test.sent_split,english,1000,0.5672981056829511,0.569,0.5681477783325012,0.9900199600798403,0.992,0.991008991008991
UD_English-ParTUT,en_partut-ud-dev.sent_split,english,156,0.9594594594594594,0.9102564102564102,0.9342105263157894,0.98,0.9423076923076923,0.9607843137254902
UD_English-ParTUT,en_partut-ud-test.sent_split,english,153,0.9215686274509803,0.9215686274509803,0.9215686274509803,1.0,0.9869281045751634,0.993421052631579
UD_English-ParTUT,en_partut-ud-train.sent_split,english,1781,0.9217910447761194,0.86692869174621,0.8935185185185186,0.9928100659077291,0.9303761931499158,0.9605797101449275
UD_Italian-ISDT,it_isdt-ud-dev.sent_split,italian,564,0.9226713532513181,0.9308510638297872,0.9267431597528685,0.9587242026266416,0.9060283687943262,0.9316317228805834
UD_Italian-ISDT,it_isdt-ud-test.sent_split,italian,482,0.9216494845360824,0.9273858921161826,0.9245087900723887,0.9639830508474576,0.9439834024896265,0.9538784067085954
UD_Italian-ISDT,it_isdt-ud-train.sent_split,italian,13121,0.9342467850581752,0.9301882478469629,0.9322130991025396,0.9556788931788932,0.9054950080024389,0.9299103823425822
UD_Italian-MarkIT,it_markit-ud-dev.sent_split,italian,341,0.9523809523809523,0.9384164222873901,0.9453471196454948,0.9864406779661017,0.8533724340175953,0.9150943396226416
UD_Italian-MarkIT,it_markit-ud-test.sent_split,italian,340,0.9472140762463344,0.95,0.9486049926578561,0.979933110367893,0.861764705882353,0.917057902973396
UD_Italian-MarkIT,it_markit-ud-train.sent_split,italian,611,0.9507389162561576,0.9476268412438625,0.9491803278688524,0.9761467889908257,0.8707037643207856,0.9204152249134948
UD_Italian-ParTUT,it_partut-ud-dev.sent_split,italian,156,0.961038961038961,0.9487179487179487,0.9548387096774195,0.9794520547945206,0.9166666666666666,0.9470198675496688
UD_Italian-ParTUT,it_partut-ud-test.sent_split,italian,153,0.9271523178807947,0.9150326797385621,0.9210526315789473,1.0,0.9869281045751634,0.993421052631579
UD_Italian-ParTUT,it_partut-ud-train.sent_split,italian,1781,0.9340845070422535,0.9309376754632229,0.9325084364454443,0.992744860943168,0.9219539584503088,0.9560407569141194
UD_Italian-VIT,it_vit-ud-dev.sent_split,italian,743,0.9256756756756757,0.9219380888290714,0.9238031018206339,0.8376184032476319,0.8331090174966352,0.835357624831309
UD_Italian-VIT,it_vit-ud-test.sent_split,italian,1067,0.8351741716227697,0.9212746016869728,0.8761140819964349,0.9794520547945206,0.9381443298969072,0.9583532790809
UD_Italian-VIT,it_vit-ud-train.sent_split,italian,8277,0.8390291684806269,0.9313761024525794,0.8827941597480675,0.9861281610606433,0.9705207200676573,0.9782621932655422
