doc_id,char_idx,punct,left_context,right_context,centered_context,token_before,token_after,label
it_markit-ud-train,78,"
",onumenti storici e artistici ma anche dal punto di,"vista naturale , è un patrimonio che va conservato","onumenti storici e artistici ma anche dal punto di
vista naturale , è un patrimonio che va conservato",di,vista,0
it_markit-ud-train,130,.,"ista naturale , è un patrimonio che va conservato "," tuttavia è molto difficile
definire un mondo priv","ista naturale , è un patrimonio che va conservato . tuttavia è molto difficile
definire un mondo priv",,tuttavia,1
it_markit-ud-train,158,"
",nio che va conservato . tuttavia è molto difficile,"definire un mondo privo di filosofia perché "" filo","nio che va conservato . tuttavia è molto difficile
definire un mondo privo di filosofia perché "" filo",difficile,definire,0
it_markit-ud-train,233,"
","di filosofia perché "" filosofia "" è una parola che",esprime un concetto molto vasto . La vera assoluta,"di filosofia perché "" filosofia "" è una parola che
esprime un concetto molto vasto . La vera assoluta",che,esprime,0
it_markit-ud-train,266,.," è una parola che
esprime un concetto molto vasto "," La vera assoluta giustizia come premiazione
dei b"," è una parola che
esprime un concetto molto vasto . La vera assoluta giustizia come premiazione
dei b",,La,1
it_markit-ud-train,311,"
",asto . La vera assoluta giustizia come premiazione,"dei buoni e punizione dei malvagi , sulla base del","asto . La vera assoluta giustizia come premiazione
dei buoni e punizione dei malvagi , sulla base del",premiazione,dei,0
it_markit-ud-train,392,"
","agi , sulla base delle loro azioni , avviene , per","chi vi crede , nell' aldilá ... Qui dobbiamo limit","agi , sulla base delle loro azioni , avviene , per
chi vi crede , nell' aldilá ... Qui dobbiamo limit",per,chi,0
it_markit-ud-train,421,.,"zioni , avviene , per
chi vi crede , nell' aldilá ",".. Qui dobbiamo limitarci ad una giustizia che ci
","zioni , avviene , per
chi vi crede , nell' aldilá ... Qui dobbiamo limitarci ad una giustizia che ci
",,,0
it_markit-ud-train,422,.,"ioni , avviene , per
chi vi crede , nell' aldilá .",". Qui dobbiamo limitarci ad una giustizia che ci
p","ioni , avviene , per
chi vi crede , nell' aldilá ... Qui dobbiamo limitarci ad una giustizia che ci
p",,,0
it_markit-ud-train,423,.,"oni , avviene , per
chi vi crede , nell' aldilá .."," Qui dobbiamo limitarci ad una giustizia che ci
pe","oni , avviene , per
chi vi crede , nell' aldilá ... Qui dobbiamo limitarci ad una giustizia che ci
pe",,Qui,0
it_markit-ud-train,471,"
",... Qui dobbiamo limitarci ad una giustizia che ci,permetta di convivere nel modo più pacifico possib,"... Qui dobbiamo limitarci ad una giustizia che ci
permetta di convivere nel modo più pacifico possib",ci,permetta,0
it_markit-ud-train,526,.,etta di convivere nel modo più pacifico possibile ," A questo proposito N.
Bobbio e M. Viroli in "" Dia","etta di convivere nel modo più pacifico possibile . A questo proposito N.
Bobbio e M. Viroli in "" Dia",,A,1
it_markit-ud-train,548,.,modo più pacifico possibile . A questo proposito N,"
Bobbio e M. Viroli in "" Dialogo intorno alla Repu","modo più pacifico possibile . A questo proposito N.
Bobbio e M. Viroli in "" Dialogo intorno alla Repu",N,Bobbio,0
it_markit-ud-train,549,"
",odo più pacifico possibile . A questo proposito N.,"Bobbio e M. Viroli in "" Dialogo intorno alla Repub","odo più pacifico possibile . A questo proposito N.
Bobbio e M. Viroli in "" Dialogo intorno alla Repub",,Bobbio,0
it_markit-ud-train,560,.,"ifico possibile . A questo proposito N.
Bobbio e M"," Viroli in "" Dialogo intorno alla Repubblica "" ( R","ifico possibile . A questo proposito N.
Bobbio e M. Viroli in "" Dialogo intorno alla Repubblica "" ( R",M,Viroli,0
it_markit-ud-train,628,"
","ogo intorno alla Repubblica "" ( Roma-Bari , 2001 )","sottolineano che "" la funzione fondamentale del di","ogo intorno alla Repubblica "" ( Roma-Bari , 2001 )
sottolineano che "" la funzione fondamentale del di",,sottolineano,0
it_markit-ud-train,709,"
", fondamentale del diritto è quella di stabilire le,"regole dell' uso della forza "" ed è proprio il sis"," fondamentale del diritto è quella di stabilire le
regole dell' uso della forza "" ed è proprio il sis",le,regole,0
it_markit-ud-train,786,"
","za "" ed è proprio il sistema di leggi che tutela i",diritti dell' individuo e per un suo corretto funz,"za "" ed è proprio il sistema di leggi che tutela i
diritti dell' individuo e per un suo corretto funz",i,diritti,0
it_markit-ud-train,859,"
",o e per un suo corretto funzionamento è necessario,stabilire chi debba esercitare l' uso della forza ,"o e per un suo corretto funzionamento è necessario
stabilire chi debba esercitare l' uso della forza ",necessario,stabilire,0
it_markit-ud-train,935,.,"itare l' uso della forza , quando , in quale modo "," I
problemi e i cambiamenti che possono scaturire ","itare l' uso della forza , quando , in quale modo . I
problemi e i cambiamenti che possono scaturire ",,I,1
it_markit-ud-train,938,"
","re l' uso della forza , quando , in quale modo . I",problemi e i cambiamenti che possono scaturire nel,"re l' uso della forza , quando , in quale modo . I
problemi e i cambiamenti che possono scaturire nel",I,problemi,0
it_markit-ud-train,1016,"
",e possono scaturire nella giustizia sono e saranno,sempre molteplici per il fatto che viviamo in una ,"e possono scaturire nella giustizia sono e saranno
sempre molteplici per il fatto che viviamo in una ",saranno,sempre,0
it_markit-ud-train,1097,"
", che viviamo in una società in continua evoluzione,. È ovvio che le vicende personali dei singoli aut," che viviamo in una società in continua evoluzione
. È ovvio che le vicende personali dei singoli aut",evoluzione,,0
it_markit-ud-train,1098,.,"che viviamo in una società in continua evoluzione
", È ovvio che le vicende personali dei singoli auto,"che viviamo in una società in continua evoluzione
. È ovvio che le vicende personali dei singoli auto",,È,1
it_markit-ud-train,1177,"
",onali dei singoli autori li portano a distinguersi,tra loro nei temi e nei canti ma ciò che li accomu,"onali dei singoli autori li portano a distinguersi
tra loro nei temi e nei canti ma ciò che li accomu",distinguersi,tra,0
it_markit-ud-train,1257,"
"," ma ciò che li accomuna è lo sfogo , l' intento di",districarsi dal dolore dell' assenza di un qualcos," ma ciò che li accomuna è lo sfogo , l' intento di
districarsi dal dolore dell' assenza di un qualcos",di,districarsi,0
it_markit-ud-train,1336,"
", assenza di un qualcosa a loro caro e colmare quel,vuoto col pianto dell' artista nella sua propria a," assenza di un qualcosa a loro caro e colmare quel
vuoto col pianto dell' artista nella sua propria a",quel,vuoto,0
it_markit-ud-train,1391,.,o col pianto dell' artista nella sua propria arte ," Questo è anche l'
esempio di quel piccolo puntino","o col pianto dell' artista nella sua propria arte . Questo è anche l'
esempio di quel piccolo puntino",,Questo,1
it_markit-ud-train,1410,"
",artista nella sua propria arte . Questo è anche l',esempio di quel piccolo puntino che per molti non ,"artista nella sua propria arte . Questo è anche l'
esempio di quel piccolo puntino che per molti non ",l',esempio,0
it_markit-ud-train,1490,"
","no che per molti non è niente , mentre per Romeo è","tutto . Il mio "" luogo dell' anima "" è una compagn","no che per molti non è niente , mentre per Romeo è
tutto . Il mio "" luogo dell' anima "" è una compagn",è,tutto,0
it_markit-ud-train,1497,.,"per molti non è niente , mentre per Romeo è
tutto "," Il mio "" luogo dell' anima "" è una compagnia di a","per molti non è niente , mentre per Romeo è
tutto . Il mio "" luogo dell' anima "" è una compagnia di a",,Il,1
it_markit-ud-train,1571,"
","nima "" è una compagnia di amici , che , ovunque io","vada , il sol pensarci mi regala una gioia commoss","nima "" è una compagnia di amici , che , ovunque io
vada , il sol pensarci mi regala una gioia commoss",io,vada,0
it_markit-ud-train,1651,"
","ala una gioia commossa ; Questo rapporto , oltre a","variare da persona a persona , è anche un legame c","ala una gioia commossa ; Questo rapporto , oltre a
variare da persona a persona , è anche un legame c",a,variare,1
