doc_id,char_idx,punct,left_context,right_context,centered_context,token_before,token_after,label
en_ewt-ud-train,128,.,"mosque in the town of Qaim, near the Syrian border","
 [This killing of a respected
cleric will be caus","mosque in the town of Qaim, near the Syrian border.
 [This killing of a respected
cleric will be caus",border,,1
en_ewt-ud-train,211,.,leric will be causing us trouble for years to come,"]
 DPA: Iraqi authorities
announced that they had ","leric will be causing us trouble for years to come.]
 DPA: Iraqi authorities
announced that they had ",come,,1
en_ewt-ud-train,310,.,d busted up 3 terrorist cells operating in Baghdad,"
 Two of
them were being run by 2 officials of the","d busted up 3 terrorist cells operating in Baghdad.
 Two of
them were being run by 2 officials of the",Baghdad,Two,1
en_ewt-ud-train,386,!,run by 2 officials of the Ministry of the Interior,"
 The MoI in
Iraq is equivalent to the US FBI, so ","run by 2 officials of the Ministry of the Interior!
 The MoI in
Iraq is equivalent to the US FBI, so ",Interior,The,1
en_ewt-ud-train,464,.,"lent to the US FBI, so this would be like having J"," Edgar Hoover
unwittingly employ at a high level m","lent to the US FBI, so this would be like having J. Edgar Hoover
unwittingly employ at a high level m",J,Edgar,0
en_ewt-ud-train,565,.,"embers of the Weathermen bombers back in the
1960s","
 The third was being run by the head of an invest","embers of the Weathermen bombers back in the
1960s.
 The third was being run by the head of an invest",1960s,The,1
en_ewt-ud-train,625,.,rd was being run by the head of an investment firm,"
 You wonder if
he was manipulating the market wit","rd was being run by the head of an investment firm.
 You wonder if
he was manipulating the market wit",firm,You,1
en_ewt-ud-train,697,.,s manipulating the market with his bombing targets,"
 The cells were
operating in the Ghazaliyah and a","s manipulating the market with his bombing targets.
 The cells were
operating in the Ghazaliyah and a",targets,The,1
en_ewt-ud-train,780,.,e Ghazaliyah and al-Jihad districts of the capital,"
 Although the
announcement was probably made to s","e Ghazaliyah and al-Jihad districts of the capital.
 Although the
announcement was probably made to s",capital,Although,1
en_ewt-ud-train,985,.,"nue to penetrate the
Iraqi government very hopeful","
 It reminds me too much of the ARVN officers who
","nue to penetrate the
Iraqi government very hopeful.
 It reminds me too much of the ARVN officers who
",hopeful,It,1
en_ewt-ud-train,1087,.,ere secretly working for the other side in Vietnam,"
 Al-Zaman : Guerrillas
killed a member of the Kur","ere secretly working for the other side in Vietnam.
 Al-Zaman : Guerrillas
killed a member of the Kur",Vietnam,Al-Zaman,1
en_ewt-ud-train,1191,.,tan Democratic Party after kidnapping him in Mosul,"

The police commander of Ninevah Province announc","tan Democratic Party after kidnapping him in Mosul.

The police commander of Ninevah Province announc",Mosul,The,1
en_ewt-ud-train,1355,.,"e had been a big jump in the number of
kidnappings","
 On Wednesday guerrillas had kidnapped a cosmetic","e had been a big jump in the number of
kidnappings.
 On Wednesday guerrillas had kidnapped a cosmetic",kidnappings,On,1
en_ewt-ud-train,1461,.,"eon and his
wife while they were on their way home","
 In Suwayrah, Kut Province, two car bombs
were di","eon and his
wife while they were on their way home.
 In Suwayrah, Kut Province, two car bombs
were di",home,In,1
en_ewt-ud-train,1551,.,"mbs
were discovered before they could be detonated","
 (Kut is in southeastern Iraq and
has an overwhel","mbs
were discovered before they could be detonated.
 (Kut is in southeastern Iraq and
has an overwhel",detonated,,1
en_ewt-ud-train,1700,.," for Baathist
saboteurs and willingly turn them in","
 This willingness is the main difference in
the n"," for Baathist
saboteurs and willingly turn them in.
 This willingness is the main difference in
the n",in,This,1
en_ewt-ud-train,1827,.,"outh as opposed to the center-north of the
country",")
 In Baghdad Kadhim Talal Husain, assistant dean ","outh as opposed to the center-north of the
country.)
 In Baghdad Kadhim Talal Husain, assistant dean ",country,,1
en_ewt-ud-train,1989,.,"ssassinated with his driver in the
Salikh district","
 Guerrillas killed an engineer, Asi Ali, from Tik","ssassinated with his driver in the
Salikh district.
 Guerrillas killed an engineer, Asi Ali, from Tik",district,Guerrillas,1
en_ewt-ud-train,2043,.,"uerrillas killed an engineer, Asi Ali, from Tikrit","
 They also
killed Shaikh Hamid 'Akkab, a clan eld","uerrillas killed an engineer, Asi Ali, from Tikrit.
 They also
killed Shaikh Hamid 'Akkab, a clan eld",Tikrit,They,1
en_ewt-ud-train,2138,.,"an elder of a branch of the Dulaim tribe in
Tikrit","
 His mother was also killed in the attack.
 Two o","an elder of a branch of the Dulaim tribe in
Tikrit.
 His mother was also killed in the attack.
 Two o",Tikrit,His,1
en_ewt-ud-train,2181,.,"
Tikrit.
 His mother was also killed in the attack","
 Two other Dulaim leaders have
been killed in the","
Tikrit.
 His mother was also killed in the attack.
 Two other Dulaim leaders have
been killed in the",attack,Two,1
en_ewt-ud-train,2253,.,"aders have
been killed in the past week and a half","
 

Guerrillas near Hawijah launched an attack tha","aders have
been killed in the past week and a half.
 

Guerrillas near Hawijah launched an attack tha",half,Guerrillas,1
en_ewt-ud-train,2345,.,"ttack that left 6 dead, including 4 Iraqi
soldiers","
 One of them was from the Jubur tribe and was dep","ttack that left 6 dead, including 4 Iraqi
soldiers.
 One of them was from the Jubur tribe and was dep",soldiers,One,1
en_ewt-ud-train,2433,.,"e and was deputy commander of the
Hawijah garrison","
 Two hundred members of the Batawi clan of the Du","e and was deputy commander of the
Hawijah garrison.
 Two hundred members of the Batawi clan of the Du",garrison,Two,1
en_ewt-ud-train,2645,.,"of his sons, by gunmen wearing Iraqi army uniforms","

(This is a largely Sunni Arab clan, and some Sun","of his sons, by gunmen wearing Iraqi army uniforms.

(This is a largely Sunni Arab clan, and some Sun",uniforms,,1
en_ewt-ud-train,2900,.,"ng the Batawi leaders for cooperating
with the Dec"," 15 elections.)
 Al-Zaman : The Iraqi High Elector","ng the Batawi leaders for cooperating
with the Dec. 15 elections.)
 Al-Zaman : The Iraqi High Elector",Dec,15,0
en_ewt-ud-train,2914,.,"leaders for cooperating
with the Dec. 15 elections",")
 Al-Zaman : The Iraqi High Electoral Commission ","leaders for cooperating
with the Dec. 15 elections.)
 Al-Zaman : The Iraqi High Electoral Commission ",elections,,1
en_ewt-ud-train,3091,.,individuals from running on party lists in the Dec," 15 elections on grounds of
having been sufficient","individuals from running on party lists in the Dec. 15 elections on grounds of
having been sufficient",Dec,15,0
en_ewt-ud-train,3223,.," to warrant their being
excluded from civil office","
 The Commission said it had no legal grounds for "," to warrant their being
excluded from civil office.
 The Commission said it had no legal grounds for ",office,The,1
en_ewt-ud-train,3291,.,"said it had no legal grounds for such
an exclusion","
 This item is a small one and easily missed.
 But","said it had no legal grounds for such
an exclusion.
 This item is a small one and easily missed.
 But",exclusion,This,1
en_ewt-ud-train,3336,.,"usion.
 This item is a small one and easily missed","
 But in my view it is
highly significant.
 The De","usion.
 This item is a small one and easily missed.
 But in my view it is
highly significant.
 The De",missed,But,1
en_ewt-ud-train,3378,.,"y missed.
 But in my view it is
highly significant","
 The Debaathification Commission had been pushed ","y missed.
 But in my view it is
highly significant.
 The Debaathification Commission had been pushed ",significant,The,1
en_ewt-ud-train,3552,.,"d many Sunni
Arabs into the arms of the guerrillas","
 Chalabi has been increasingly
marginalized withi","d many Sunni
Arabs into the arms of the guerrillas.
 Chalabi has been increasingly
marginalized withi",guerrillas,Chalabi,1
en_ewt-ud-train,3678,.,"his ties of clientelage with
Washington and Tehran","
 He is no longer in the dominant Shiite list, the","his ties of clientelage with
Washington and Tehran.
 He is no longer in the dominant Shiite list, the",Tehran,He,1
en_ewt-ud-train,3800,.,"e, and won't have many seats in the new parliament","
 Some 2,000
junior officers of the old Baath army","e, and won't have many seats in the new parliament.
 Some 2,000
junior officers of the old Baath army",parliament,Some,1
en_ewt-ud-train,3950,.,ething Chalabi would have blocked if he could have,"
 Now the Electoral
Commission is refusing to puni","ething Chalabi would have blocked if he could have.
 Now the Electoral
Commission is refusing to puni",have,Now,1
en_ewt-ud-train,4047,.,punish people for mere past Baath Party membership,"

The situation in Iraq is only going to get bette","punish people for mere past Baath Party membership.

The situation in Iraq is only going to get bette",membership,The,1
en_ewt-ud-train,4108,.,ation in Iraq is only going to get better this way,"
 If someone committed
a crime against humanity, p","ation in Iraq is only going to get better this way.
 If someone committed
a crime against humanity, p",way,If,1
en_ewt-ud-train,4178,.,"ted
a crime against humanity, prosecute the person","
 If he or she did not, then they
should have all ","ted
a crime against humanity, prosecute the person.
 If he or she did not, then they
should have all ",person,If,1
en_ewt-ud-train,4260,.,"ey
should have all the same rights as other Iraqis","
 Al-Sharq al-Awsat reports that
a key eyewitness ","ey
should have all the same rights as other Iraqis.
 Al-Sharq al-Awsat reports that
a key eyewitness ",Iraqis,Al-Sharq,1
en_ewt-ud-train,4380,.,"dam Hussein for a 1982 massacre at Dujail
has died","
 A team from the court managed to take his deposi","dam Hussein for a 1982 massacre at Dujail
has died.
 A team from the court managed to take his deposi",died,A,1
en_ewt-ud-train,4450,.,ourt managed to take his deposition before he died,"

The trial begins again Nov.28.
 

In Baghdad the","ourt managed to take his deposition before he died.

The trial begins again Nov.28.
 

In Baghdad the",died,The,1
en_ewt-ud-train,4479,.,"sition before he died.

The trial begins again Nov","28.
 

In Baghdad the fighting still continues in ","sition before he died.

The trial begins again Nov.28.
 

In Baghdad the fighting still continues in ",Nov,28,0
en_ewt-ud-train,4482,.,"ion before he died.

The trial begins again Nov.28","
 

In Baghdad the fighting still continues in sev","ion before he died.

The trial begins again Nov.28.
 

In Baghdad the fighting still continues in sev",28,In,1
en_ewt-ud-train,4577,.,"in several areas, mostly in Sadr city
and Adhamiya","
 Baghdadis don't venture much out of their neighb","in several areas, mostly in Sadr city
and Adhamiya.
 Baghdadis don't venture much out of their neighb",Adhamiya,Baghdadis,1
en_ewt-ud-train,4687,.,"any more,
you never know where you might get stuck","
 There has been talk that the night
curfew might ","any more,
you never know where you might get stuck.
 There has been talk that the night
curfew might ",stuck,There,1
en_ewt-ud-train,4758,.,"k that the night
curfew might be implemented again","
 My neighbourhood has been surrounded by
American","k that the night
curfew might be implemented again.
 My neighbourhood has been surrounded by
American",again,My,1
en_ewt-ud-train,4891,.,"copters have been circling over our
heads non-stop","
 Fedayeen are now visible on the street and they ","copters have been circling over our
heads non-stop.
 Fedayeen are now visible on the street and they ",non-stop,Fedayeen,1
en_ewt-ud-train,4970,.,"n the street and they have become
bolder than ever","
 Yesterday there were tens of them putting road b","n the street and they have become
bolder than ever.
 Yesterday there were tens of them putting road b",ever,Yesterday,1
en_ewt-ud-train,5212,.,"scriminately and shooting
their AK-47's in the air","
 They are setting the road blocks at the exact sa","scriminately and shooting
their AK-47's in the air.
 They are setting the road blocks at the exact sa",air,They,1
en_ewt-ud-train,5352,.,"ast year, which indicates they are the same
people","
 And there is nothing we can do about it really, ","ast year, which indicates they are the same
people.
 And there is nothing we can do about it really, ",people,And,1
en_ewt-ud-train,5483,., we go out and fight them are living in dream land,"
 Even the IP
and ICDC have abandoned the neighbou"," we go out and fight them are living in dream land.
 Even the IP
and ICDC have abandoned the neighbou",land,Even,1
en_ewt-ud-train,5800,?, the brave and valiant civilians from the Fedayeen,"
 Everyone is
apprehensive, there is some talk tha"," the brave and valiant civilians from the Fedayeen?
 Everyone is
apprehensive, there is some talk tha",Fedayeen,Everyone,1
en_ewt-ud-train,5899,.,"hat April 9th and 10th are going to be bloody
days","
 Most people haven't gone to work the last few da","hat April 9th and 10th are going to be bloody
days.
 Most people haven't gone to work the last few da",days,Most,1
en_ewt-ud-train,6043,.,dad is 'normal' (if you can define what normal is),"
 There are
rumours about preparations by slum dwe","dad is 'normal' (if you can define what normal is).
 There are
rumours about preparations by slum dwe",,There,1
en_ewt-ud-train,6398,.,"rst to loot, we didn't get
anything the last time""","
 Mosques are calling for donating blood, food, an","rst to loot, we didn't get
anything the last time"".
 Mosques are calling for donating blood, food, an",,Mosques,1
en_ewt-ud-train,6566,.,"t for Fallujah,
most of them returned later though","
 What irritates me is this sudden false
'solidari","t for Fallujah,
most of them returned later though.
 What irritates me is this sudden false
'solidari",though,What,1
en_ewt-ud-train,6881,.,", 'Wahhabis',
and 'terrorists' just a few days ago","
 So what happened?
 I guess it's just the
old new",", 'Wahhabis',
and 'terrorists' just a few days ago.
 So what happened?
 I guess it's just the
old new",ago,So,1
en_ewt-ud-train,6900,?,"terrorists' just a few days ago.
 So what happened","
 I guess it's just the
old new Arab 'Me against m","terrorists' just a few days ago.
 So what happened?
 I guess it's just the
old new Arab 'Me against m",happened,I,1
en_ewt-ud-train,7095,.,"emy of my enemy is my friend' thing going
on again","
 Speaking of Fallujah, we have only Al-Jazeera to","emy of my enemy is my friend' thing going
on again.
 Speaking of Fallujah, we have only Al-Jazeera to",again,Speaking,1
en_ewt-ud-train,7178,.,"only Al-Jazeera to rely on for our news
from there","
 They have sent over their top reporter Ahmed Man","only Al-Jazeera to rely on for our news
from there.
 They have sent over their top reporter Ahmed Man",there,They,1
en_ewt-ud-train,7322,.,nds of propaganda hourly reminding me of Al-Sahhaf,"

""They are targetting ambulances"", ""American snip","nds of propaganda hourly reminding me of Al-Sahhaf.

""They are targetting ambulances"", ""American snip",Al-Sahhaf,,1
en_ewt-ud-train,7504,.,"against civilians"" is all you
get to hear from him","
 He did once make an unforgivable error when he m","against civilians"" is all you
get to hear from him.
 He did once make an unforgivable error when he m",him,He,1
en_ewt-ud-train,7712,.,"l-Golan, but of course that is okay for Al-Jazeera","
 Someone
who called himself Abu Hafs from the Ibn","l-Golan, but of course that is okay for Al-Jazeera.
 Someone
who called himself Abu Hafs from the Ibn",Al-Jazeera,Someone,1
en_ewt-ud-train,7958,.,iers were mutilating the bodies of dead insurgents,"

Over 300 Iraqis are reported dead and 500 wounde","iers were mutilating the bodies of dead insurgents.

Over 300 Iraqis are reported dead and 500 wounde",insurgents,Over,1
en_ewt-ud-train,8028,.,re reported dead and 500 wounded in Fallujah alone,"
 Al-Iraqiyah
tv said that ICDC were controlling R","re reported dead and 500 wounded in Fallujah alone.
 Al-Iraqiyah
tv said that ICDC were controlling R",alone,Al-Iraqiyah,1
en_ewt-ud-train,8084,.,"Iraqiyah
tv said that ICDC were controlling Ramadi","
 

Azzaman newspaper mentioned an announcement si","Iraqiyah
tv said that ICDC were controlling Ramadi.
 

Azzaman newspaper mentioned an announcement si",Ramadi,Azzaman,1
en_ewt-ud-train,8456,.,"ls to deter them from committing criminal actions""","
 He added that ""America
does not understand anyth","ls to deter them from committing criminal actions"".
 He added that ""America
does not understand anyth",,He,1
en_ewt-ud-train,8857,.,"ninsula together with their agents and supporters""","
 

Elena's motorcycle tour through the region aro","ninsula together with their agents and supporters"".
 

Elena's motorcycle tour through the region aro",,Elena's,1
en_ewt-ud-train,8998,.,e of the most serious nuclear disasters in history,"
 We all know what
happened, but even to this day,","e of the most serious nuclear disasters in history.
 We all know what
happened, but even to this day,",history,We,1
en_ewt-ud-train,9199,.,"ve on the health of people
affected by the fallout","
 UPDATE:
 Now you can tour Chernobyl and write yo","ve on the health of people
affected by the fallout.
 UPDATE:
 Now you can tour Chernobyl and write yo",fallout,UPDATE,1
en_ewt-ud-train,9262,.,"ow you can tour Chernobyl and write your own
story","
 

This is not a post about fault-finding or assi","ow you can tour Chernobyl and write your own
story.
 

This is not a post about fault-finding or assi",story,This,1
en_ewt-ud-train,9324,., not a post about fault-finding or assigning blame,"
 It is a time to learn
what happened and how it m"," not a post about fault-finding or assigning blame.
 It is a time to learn
what happened and how it m",blame,It,1
en_ewt-ud-train,9395,.,"arn
what happened and how it may affect the future","
 There was a soothing
authoritative UNSCEAR (Unit","arn
what happened and how it may affect the future.
 There was a soothing
authoritative UNSCEAR (Unit",future,There,1
en_ewt-ud-train,9688,.,"tion-related
health effects to most people exposed","
 This was heavily promoted by the
Australasian Ra","tion-related
health effects to most people exposed.
 This was heavily promoted by the
Australasian Ra",exposed,This,1
en_ewt-ud-train,10095,.,as been severely affected by exposure to radiation,"
 Many people still believe
that to be true, even ","as been severely affected by exposure to radiation.
 Many people still believe
that to be true, even ",radiation,Many,1
en_ewt-ud-train,10620,.,"d to the Chernobyl
accident until proven otherwise","
 The prestigious IAEA (International Atomic
Energ","d to the Chernobyl
accident until proven otherwise.
 The prestigious IAEA (International Atomic
Energ",otherwise,The,1
en_ewt-ud-train,10827,.,"tated that there was no significant health
effects","
 However, in April 2001, the IAEA published Fifte","tated that there was no significant health
effects.
 However, in April 2001, the IAEA published Fifte",effects,However,1
en_ewt-ud-train,10933,.,"ars after the
Chernobyl Accident - Lessons learned"," which contradict the earlier reports.
 Here
are s","ars after the
Chernobyl Accident - Lessons learned. which contradict the earlier reports.
 Here
are s",learned,which,0
