dataset,raw_file,processed_file,n_rows,n_positive,n_negative,clean_text_len,newline_only_boundaries
UD_English-EWT,en_ewt-ud-dev.sent_split,en_ewt-ud-dev.csv,2294,1494,800,128840,507
UD_English-EWT,en_ewt-ud-test.sent_split,en_ewt-ud-test.csv,2083,1443,640,128449,634
UD_English-EWT,en_ewt-ud-train.sent_split,en_ewt-ud-train.csv,13649,10164,3485,1025446,2380
UD_English-GUM,en_gum-ud-dev.sent_split,en_gum-ud-dev.csv,1568,1416,152,139536,159
UD_English-GUM,en_gum-ud-test.sent_split,en_gum-ud-test.csv,1420,1294,126,145820,170
UD_English-GUM,en_gum-ud-train.sent_split,en_gum-ud-train.csv,10020,9090,930,881738,1134
UD_English-PUD,en_pud-ud-test.sent_split,en_pud-ud-test.csv,1054,1000,54,112913,0
UD_English-ParTUT,en_partut-ud-dev.sent_split,en_partut-ud-dev.csv,153,147,6,14342,9
UD_English-ParTUT,en_partut-ud-test.sent_split,en_partut-ud-test.csv,152,151,1,18657,2
UD_English-ParTUT,en_partut-ud-train.sent_split,en_partut-ud-train.csv,1724,1661,63,236437,120
UD_Italian-ISDT,it_isdt-ud-dev.sent_split,it_isdt-ud-dev.csv,556,512,44,61158,52
UD_Italian-ISDT,it_isdt-ud-test.sent_split,it_isdt-ud-test.csv,487,456,31,53849,26
UD_Italian-ISDT,it_isdt-ud-train.sent_split,it_isdt-ud-train.csv,13020,11906,1114,1432304,1215
UD_Italian-MarkIT,it_markit-ud-dev.sent_split,it_markit-ud-dev.csv,310,297,13,55037,44
UD_Italian-MarkIT,it_markit-ud-test.sent_split,it_markit-ud-test.csv,317,297,20,53685,43
UD_Italian-MarkIT,it_markit-ud-train.sent_split,it_markit-ud-train.csv,582,540,42,104648,71
UD_Italian-ParTUT,it_partut-ud-dev.sent_split,it_partut-ud-dev.csv,148,143,5,15675,13
UD_Italian-ParTUT,it_partut-ud-test.sent_split,it_partut-ud-test.csv,153,152,1,20093,1
UD_Italian-ParTUT,it_partut-ud-train.sent_split,it_partut-ud-train.csv,1702,1646,56,265642,135
UD_Italian-VIT,it_vit-ud-dev.sent_split,it_vit-ud-dev.csv,787,625,162,154776,118
UD_Italian-VIT,it_vit-ud-test.sent_split,it_vit-ud-test.csv,1089,1018,71,133650,49
UD_Italian-VIT,it_vit-ud-train.sent_split,it_vit-ud-train.csv,8662,8058,604,1179106,219
