doc_id,char_idx,punct,left_context,right_context,centered_context,token_before,token_after,label
en_gum-ud-train,96,.,"hts from Eye-Tracking
 

Claire Bailey-Ross claire","bailey-ross@port.ac.uk University of Portsmouth,
U","hts from Eye-Tracking
 

Claire Bailey-Ross claire.bailey-ross@port.ac.uk University of Portsmouth,
U",claire,bailey-ross,0
en_gum-ud-train,113,.,"king
 

Claire Bailey-Ross claire.bailey-ross@port","ac.uk University of Portsmouth,
United Kingdom
 

","king
 

Claire Bailey-Ross claire.bailey-ross@port.ac.uk University of Portsmouth,
United Kingdom
 

",port,ac,0
en_gum-ud-train,116,.,"g
 

Claire Bailey-Ross claire.bailey-ross@port.ac","uk University of Portsmouth,
United Kingdom
 

And","g
 

Claire Bailey-Ross claire.bailey-ross@port.ac.uk University of Portsmouth,
United Kingdom
 

And",ac,uk,0
en_gum-ud-train,182,.,"f Portsmouth,
United Kingdom
 

Andrew Beresford a","m.beresford@durham.ac.uk Durham University, United","f Portsmouth,
United Kingdom
 

Andrew Beresford a.m.beresford@durham.ac.uk Durham University, United",a,m,0
en_gum-ud-train,184,.,"Portsmouth,
United Kingdom
 

Andrew Beresford a.m","beresford@durham.ac.uk Durham University, United K","Portsmouth,
United Kingdom
 

Andrew Beresford a.m.beresford@durham.ac.uk Durham University, United K",m,beresford,0
en_gum-ud-train,201,.,"d Kingdom
 

Andrew Beresford a.m.beresford@durham","ac.uk Durham University, United Kingdom
 

Daniel ","d Kingdom
 

Andrew Beresford a.m.beresford@durham.ac.uk Durham University, United Kingdom
 

Daniel ",durham,ac,0
en_gum-ud-train,204,.,"ingdom
 

Andrew Beresford a.m.beresford@durham.ac","uk Durham University, United Kingdom
 

Daniel Smi","ingdom
 

Andrew Beresford a.m.beresford@durham.ac.uk Durham University, United Kingdom
 

Daniel Smi",ac,uk,0
en_gum-ud-train,264,.," University, United Kingdom
 

Daniel Smith daniel","smith2@durham.ac.uk Durham University, United King"," University, United Kingdom
 

Daniel Smith daniel.smith2@durham.ac.uk Durham University, United King",daniel,smith2,0
en_gum-ud-train,278,.,"nited Kingdom
 

Daniel Smith daniel.smith2@durham","ac.uk Durham University, United Kingdom
 

Claire ","nited Kingdom
 

Daniel Smith daniel.smith2@durham.ac.uk Durham University, United Kingdom
 

Claire ",durham,ac,0
en_gum-ud-train,281,.,"ed Kingdom
 

Daniel Smith daniel.smith2@durham.ac","uk Durham University, United Kingdom
 

Claire War","ed Kingdom
 

Daniel Smith daniel.smith2@durham.ac.uk Durham University, United Kingdom
 

Claire War",ac,uk,0
en_gum-ud-train,338,.,"ham University, United Kingdom
 

Claire Warwick c","l.h.warwick@durham.ac.uk Durham University, United","ham University, United Kingdom
 

Claire Warwick c.l.h.warwick@durham.ac.uk Durham University, United",c,l,0
en_gum-ud-train,340,.,"m University, United Kingdom
 

Claire Warwick c.l","h.warwick@durham.ac.uk Durham University, United K","m University, United Kingdom
 

Claire Warwick c.l.h.warwick@durham.ac.uk Durham University, United K",l,h,0
en_gum-ud-train,342,.,"University, United Kingdom
 

Claire Warwick c.l.h","warwick@durham.ac.uk Durham University, United Kin","University, United Kingdom
 

Claire Warwick c.l.h.warwick@durham.ac.uk Durham University, United Kin",h,warwick,0
en_gum-ud-train,357,.,"ted Kingdom
 

Claire Warwick c.l.h.warwick@durham","ac.uk Durham University, United Kingdom
 

How do ","ted Kingdom
 

Claire Warwick c.l.h.warwick@durham.ac.uk Durham University, United Kingdom
 

How do ",durham,ac,0
en_gum-ud-train,360,.," Kingdom
 

Claire Warwick c.l.h.warwick@durham.ac","uk Durham University, United Kingdom
 

How do peo"," Kingdom
 

Claire Warwick c.l.h.warwick@durham.ac.uk Durham University, United Kingdom
 

How do peo",ac,uk,0
en_gum-ud-train,441,?,"ingdom
 

How do people look at and experience art","
 Which elements of specific artworks do
they focu","ingdom
 

How do people look at and experience art?
 Which elements of specific artworks do
they focu",art,Which,1
en_gum-ud-train,496,?,"ich elements of specific artworks do
they focus on","
 Do museum labels have an impact on how people lo","ich elements of specific artworks do
they focus on?
 Do museum labels have an impact on how people lo",on,Do,1
